base_name,indication,mg_per_dose,dosing_period,daily_dose,dosage_forms,ephmra_code
adalimumab,rheumatoid arthritis,40,every other week,2.86,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
adalimumab,psoriatic arthritis,40,every other week,2.86,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
adalimumab,ankylosing spondylitis,40,every other week,2.86,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
adalimumab,crohn's disease,40,every other week,2.86,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
adalimumab,ulcerative colitis,40,every other week,2.86,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
adalimumab,plaque psoriasis,40,every other week,2.86,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
adalimumab,uveitis,40,every other week,2.86,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
adalimumab,hidradenitis suppurativa,40,every week,5.71,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 pen|40/0.4 syringe|40/0.8 pen|40/0.8 syringe|80/0.8 pen|80/0.8 syringe,L4B (Anti-TNF Products)
ado-trastuzumab,HER2-positive breast cancer,252.0,every 3 weeks,12.0,100 vial|160 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
alemtuzumab,B-cell chronic lymphocytic leukemia (B-CLL),30,three times per week,12.86,30/1 vial|12/1.2 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
alemtuzumab,relapsing forms of multiple sclerosis,12,daily for 3 consecutive days annually after initial course,0.3,30/1 vial|12/1.2 vial,N7A (Multiple Sclerosis Products)
alirocumab,hypercholesterolemia including HeFH,75|150|300,every 2 weeks|every 4 weeks,3.75|7.5,75/1 pen|150/1 pen,C10A4 (PCSK9 Inhibitors)
alirocumab,HeFH undergoing LDL apheresis,150,every 2 weeks,7.5,75/1 pen|150/1 pen,C10A4 (PCSK9 Inhibitors)
alirocumab,HoFH,150,every 2 weeks,7.5,75/1 pen|150/1 pen,C10A4 (PCSK9 Inhibitors)
alirocumab,major adverse cardiovascular events prevention,75|150|300,every 2 weeks|every 4 weeks,3.75|7.5,75/1 pen|150/1 pen,C10A4 (PCSK9 Inhibitors)
amivantamab,First-line NSCLC with EGFR exon 19 deletions or exon 21 L858R substitution mutations (combination with lazertinib),1050|1400,every 2 weeks,75.0|100.0,350/7 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
amivantamab,Previously treated NSCLC with EGFR exon 19 deletions or exon 21 L858R substitution mutations (combination with carboplatin and pemetrexed),1750|2100,every 3 weeks,83.33|100.0,350/7 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
