Generic Name,Product,Company,ndc11,ndc_description,pricing_unit,2025,2024,2023,2022,Technology,Mechanism of Action,Corrected EphMRA Code
adalimumab,adalimumab,sandoz inc,61314032720,ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,ML,1592.35758,1590.28426,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) antibody,L4B (Anti-TNF Products)
adalimumab,adalimumab,sandoz inc,61314032720,ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,ML,1592.35758,1590.28426,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,cyltezo,"boehringer ingelheim pharmaceuticals, inc.",00597037597,CYLTEZO(CF) PEN 40 MG/0.8 ML,EA,3200.16786,3202.8075,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,humira,abbvie inc.,00074012402,HUMIRA(CF) PEN 80 MG/0.8 ML,EA,6731.55667,6728.00209,6721.879,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,humira,abbvie inc.,00074012403,HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,EA,6745.428,6692.61151,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,humira,abbvie inc.,00074024302,HUMIRA(CF) 40 MG/0.4 ML SYRINGE,EA,3366.4525,3360.88184,3373.39012,3123.50937,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,humira,abbvie inc.,00074055402,HUMIRA(CF) PEN 40 MG/0.4 ML,EA,3365.92763,3362.67816,3371.49113,3121.75105,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,humira,abbvie inc.,00074061602,HUMIRA(CF) 20 MG/0.2 ML SYRINGE,EA,3369.583,3348.5775,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,humira,abbvie inc.,00074153903,HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,EA,4441.46944,4441.46944,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
adalimumab,humira,abbvie inc.,00074379902,HUMIRA 40 MG/0.8 ML SYRINGE,EA,3371.02521,3361.23071,3370.96704,3121.26578,Recombinant antibody,Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
