base_name,indication,mg_per_dose,dosing_period,dosage_forms,route,designated_daily_dose,ephmra_code
adalimumab,rheumatoid arthritis,40,every other week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,2.85,L4B (Anti-TNF Products)
adalimumab,psoriatic arthritis,40,every other week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,2.85,L4B (Anti-TNF Products)
adalimumab,ankylosing spondylitis,40,every other week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,2.85,L4B (Anti-TNF Products)
adalimumab,crohn's disease,40,every other week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,2.85,L4B (Anti-TNF Products)
adalimumab,ulcerative colitis,40,every other week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,2.85,L4B (Anti-TNF Products)
adalimumab,plaque psoriasis,40,every other week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,2.85,L4B (Anti-TNF Products)
adalimumab,hidradenitis suppurativa,40,every week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,5.7,L4B (Anti-TNF Products)
adalimumab,uveitis,40,every other week,10/0.1 syringe|20/0.2 syringe|20/0.4 syringe|40/0.4 autoinjector|40/0.4 pen|40/0.4 syringe|40/0.8 autoinjector|40/0.8 pen|40/0.8 syringe|40/0.8 vial|80/0.8 autoinjector|80/0.8 pen|80/0.8 syringe,subcutaneous,2.85,L4B (Anti-TNF Products)
ado-trastuzumab,HER2-positive metastatic breast cancer,252,every 3 weeks,100 vial|160 vial,intravenous,11.74,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
ado-trastuzumab,HER2-positive early breast cancer,252,every 3 weeks,100 vial|160 vial,intravenous,11.74,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
alemtuzumab,B-cell chronic lymphocytic leukemia (B-CLL),30,three times per week,30/1 vial,intravenous,2.96,L1G9 (Monoclonal Antibody Antineoplastics Other)
alemtuzumab,relapsing forms of multiple sclerosis,36,annually after initial 2 courses,12/1.2 vial,intravenous,0.1,L1G9 (Monoclonal Antibody Antineoplastics Other)
alirocumab,hypercholesterolemia including HeFH,150,every 4 weeks,75/1 pen|150/1 pen,subcutaneous,5.34,C10A4 (PCSK9 Inhibitors)
alirocumab,HeFH undergoing LDL apheresis,150,every 2 weeks,75/1 pen|150/1 pen,subcutaneous,10.68,C10A4 (PCSK9 Inhibitors)
alirocumab,HoFH,150,every 2 weeks,75/1 pen|150/1 pen,subcutaneous,10.68,C10A4 (PCSK9 Inhibitors)
