input_name,brand_name,labeler_name,ndc11,ndc_description,pricing_unit,nadac_per_unit_2025,nadac_per_unit_2024,nadac_per_unit_2023,nadac_per_unit_2022
adalimumab,Humira,AbbVie Inc.,00074153903,HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,EA,4441.46944,4441.46944,,
adalimumab,Adalimumab,Biocon Biologics Inc,83257002042,,,,,,
adalimumab,Adalimumab,Biocon Biologics Inc,83257002142,,,,,,
adalimumab,YUSIMRY,Coherus BioSciences Inc,70114021002,,,,,,
adalimumab,Adalimumab,Biocon Biologics Inc,83257002232,,,,,,
adalimumab,YUSIMRY,Coherus BioSciences Inc,70114022002,YUSIMRY(CF) 40 MG/0.8 ML PEN,ML,604.15250,,,
adalimumab,Hadlima,Organon LLC,78206018401,HADLIMA PUSHTOUCH 40 MG/0.8 ML,ML,632.24125,,,
adalimumab,,Novartis Pharmaceuticals Corporation,00078132909,,,,,,
adalimumab,Hadlima,Organon LLC,78206018301,,,,,,
adalimumab,Hadlima,Organon LLC,78206018501,,,,,,
adalimumab,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037548,,,,,,
adalimumab,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037597,CYLTEZO(CF) PEN 40 MG/0.8 ML,EA,3200.16786,3202.80750,,
adalimumab,Hadlima,Organon LLC,78206018601,HADLIMA(CF) 40 MG/0.4 ML SYRINGE,ML,1259.54167,1256.40250,,
adalimumab,,Samsung BioLogics Co. LTD,71124005900,,,,,,
adalimumab,Hadlima,Organon LLC,78206018701,HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,ML,1261.09297,1259.24792,,
adalimumab,Hadlima,Organon LLC,78206018759,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513040001,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513040002,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513040091,,,,,,
adalimumab,Simlandi,A-S Medication Solutions,50090771800,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513039901,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513041001,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513041002,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513041101,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513041301,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513047901,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513047902,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513048001,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513048002,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513048101,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513048102,,,,,,
adalimumab,AMJEVITA,"Amgen, Inc",55513048201,,,,,,
